ID,Title,Price,Image URL,URL
10,Heaven and Earth Tarot KIT | პრემიუმ ხარისხი,₾149.00,https://onlinetarot.ge/wp-content/uploads/2023/04/HE-1-430x430.png,https://onlinetarot.ge/product/heaven-and-earth-tarot-kit-%e1%83%9e%e1%83%a0%e1%83%94%e1%83%9b%e1%83%98%e1%83%a3%e1%83%9b-%e1%83%ae%e1%83%90%e1%83%a0%e1%83%98%e1%83%a1%e1%83%ae%e1%83%98/
11,XIII Tarot by Nekro,₾54.00,https://onlinetarot.ge/wp-content/uploads/2023/04/m_5f987c3a800f6449add4e9a2-430x430.jpeg,https://onlinetarot.ge/product/xiii-tarot-by-nekro/
12,Heaven and Earth Tarot | პრემიუმ ხარისხი,₾139.00,https://onlinetarot.ge/wp-content/uploads/2022/06/images-e1656077258583.png,https://onlinetarot.ge/product/heaven-and-earth-tarot-%e1%83%9e%e1%83%a0%e1%83%94%e1%83%9b%e1%83%98%e1%83%a3%e1%83%9b-%e1%83%ae%e1%83%90%e1%83%a0%e1%83%98%e1%83%a1%e1%83%ae%e1%83%98/
13,Gay Tarot | იტალიური. პრემიუმ ხარისხი,₾99.00,https://onlinetarot.ge/wp-content/uploads/2022/06/images-e1656077258583.png,https://onlinetarot.ge/product/gay-taro-%e1%83%98%e1%83%a2%e1%83%90%e1%83%9a%e1%83%98%e1%83%a3%e1%83%a0%e1%83%98-%e1%83%9e%e1%83%a0%e1%83%94%e1%83%9b%e1%83%98%e1%83%a3%e1%83%9b-%e1%83%ae%e1%83%90%e1%83%a0%e1%83%98%e1%83%a1/
14,Kamasutra Tarot | იტალიური. პრემიუმ ხარისხი,₾99.00,https://onlinetarot.ge/wp-content/uploads/2022/06/images-e1656077258583.png,https://onlinetarot.ge/product/kamasutra-tarot-%e1%83%98%e1%83%a2%e1%83%90%e1%83%9a%e1%83%98%e1%83%a3%e1%83%a0%e1%83%98-%e1%83%9e%e1%83%a0%e1%83%94%e1%83%9b%e1%83%98%e1%83%a3%e1%83%9b-%e1%83%ae%e1%83%90%e1%83%a0%e1%83%98/
15,Golden Tarot of Klimt  | პრემიუმ ხარისხი,₾139.00,https://onlinetarot.ge/wp-content/uploads/2022/06/images-e1656077258583.png,https://onlinetarot.ge/product/golden-tarot-of-klimt-%e1%83%9e%e1%83%a0%e1%83%94%e1%83%9b%e1%83%98%e1%83%a3%e1%83%9b-%e1%83%ae%e1%83%90%e1%83%a0%e1%83%98%e1%83%a1%e1%83%ae%e1%83%98/
16,Golden Tarot Of The Renaissance  | პრემიუმ ხარისხი,₾139.00,https://onlinetarot.ge/wp-content/uploads/2022/06/images-e1656077258583.png,https://onlinetarot.ge/product/golden-tarot-of-the-renaissance-%e1%83%9e%e1%83%a0%e1%83%94%e1%83%9b%e1%83%98%e1%83%a3%e1%83%9b-%e1%83%ae%e1%83%90%e1%83%a0%e1%83%98%e1%83%a1%e1%83%ae%e1%83%98/
17,Grand Luxe Tarot  | პრემიუმ ხარისხი,₾129.00,https://onlinetarot.ge/wp-content/uploads/2022/06/logo_appleIcon_logo2_1.png,https://onlinetarot.ge/product/grand-luxe-tarot-%e1%83%9e%e1%83%a0%e1%83%94%e1%83%9b%e1%83%98%e1%83%a3%e1%83%9b-%e1%83%ae%e1%83%90%e1%83%a0%e1%83%98%e1%83%a1%e1%83%ae%e1%83%98/
18,Tarot Decoratif Deck and Book Set | პრემიუმ ხარისხი,₾149.00,https://onlinetarot.ge/wp-content/uploads/2022/06/logo_appleIcon_logo2_1.png,https://onlinetarot.ge/product/tarot-decoratif-deck-and-book-set/
19,Millennium Thoth Tarot | პრემიუმ ხარისხი,₾139.00,https://onlinetarot.ge/wp-content/uploads/2022/06/images-e1656077258583.png,https://onlinetarot.ge/product/millennium-thoth-tarot-%e1%83%9e%e1%83%a0%e1%83%94%e1%83%9b%e1%83%98%e1%83%a3%e1%83%9b-%e1%83%ae%e1%83%90%e1%83%a0%e1%83%98%e1%83%a1%e1%83%ae%e1%83%98/
20,Masonic Tarot – მასონური ტაროს დასტა | პრემიუმ ხარისხი,₾139.00,https://onlinetarot.ge/wp-content/uploads/2022/06/images-e1656077258583.png,https://onlinetarot.ge/product/masonic-tarot-%e1%83%9b%e1%83%90%e1%83%a1%e1%83%9d%e1%83%9c%e1%83%a3%e1%83%a0%e1%83%98-%e1%83%a2%e1%83%90%e1%83%a0%e1%83%9d%e1%83%a1-%e1%83%93%e1%83%90%e1%83%a1%e1%83%a2%e1%83%90-%e1%83%9e/
21,Edgar Allan Poe Tarot – ედგარ ალან პო-ს ტარო,₾49.00,https://onlinetarot.ge/wp-content/uploads/2023/01/f15c0d3e3e53d6708d61f4f056548ac8153790e5_1024_1024-430x430.jpeg,https://onlinetarot.ge/product/edgar-allan-poe-tarot-%e1%83%94%e1%83%93%e1%83%92%e1%83%90%e1%83%a0-%e1%83%90%e1%83%9a%e1%83%90%e1%83%9c-%e1%83%9e%e1%83%9d-%e1%83%a1-%e1%83%a2%e1%83%90%e1%83%a0%e1%83%9d/
22,Black Cats Tarot – შავი კატების ტარო,₾54.00,https://onlinetarot.ge/wp-content/uploads/2023/01/5e3cd78fb47c6b463e310cc3fbd5965753c685cb_original-430x430.jpeg,https://onlinetarot.ge/product/black-cats-tarot-%e1%83%a8%e1%83%90%e1%83%95%e1%83%98-%e1%83%99%e1%83%90%e1%83%a2%e1%83%94%e1%83%91%e1%83%98%e1%83%a1-%e1%83%a2%e1%83%90%e1%83%a0%e1%83%9d/
23,Pagan Cat Tarot – პაგანი კატების ტარო,₾49.00,https://onlinetarot.ge/wp-content/uploads/2023/01/Tarot-Cards-Mini-Size-Tarot-Of-Pagan-Cats-All-English-Tarot-Board-Game-Cards-Family-Gathering-430x430.jpg,https://onlinetarot.ge/product/pagan-cat-tarot-%e1%83%9e%e1%83%90%e1%83%92%e1%83%90%e1%83%9c%e1%83%98-%e1%83%99%e1%83%90%e1%83%a2%e1%83%94%e1%83%91%e1%83%98%e1%83%a1-%e1%83%a2%e1%83%90%e1%83%a0%e1%83%9d/
24,Dark Wood Tarot,₾54.00,https://onlinetarot.ge/wp-content/uploads/2023/01/829bfccd0f7957a6d0501e97b84cf7ee55bbed1c_original-430x430.jpeg,https://onlinetarot.ge/product/dark-wood-tarot/
25,After Tarot Kit | პრემიუმ ხარისხი,₾149.00,https://onlinetarot.ge/wp-content/uploads/2022/06/images-e1656077258583.png,https://onlinetarot.ge/product/after-tarot-kit-%e1%83%9e%e1%83%a0%e1%83%94%e1%83%9b%e1%83%98%e1%83%a3%e1%83%9b-%e1%83%ae%e1%83%90%e1%83%a0%e1%83%98%e1%83%a1%e1%83%ae%e1%83%98/
26,Golden Universal Tarot | პრემიუმ ხარისხი,₾139.00,https://onlinetarot.ge/wp-content/uploads/2022/06/images-e1656077258583.png,https://onlinetarot.ge/product/golden-universal-tarot-%e1%83%9e%e1%83%a0%e1%83%94%e1%83%9b%e1%83%98%e1%83%a3%e1%83%9b-%e1%83%ae%e1%83%90%e1%83%a0%e1%83%98%e1%83%a1%e1%83%ae%e1%83%98/
27,Radiant Wise Spirit Tarot: Lo Scarabeo | პრემიუმ ხარისხი,₾139.00,https://onlinetarot.ge/wp-content/uploads/2022/06/images-e1656077258583.png,https://onlinetarot.ge/product/radiant-wise-spirit-tarot-lo-scarabeo-%e1%83%9e%e1%83%a0%e1%83%94%e1%83%9b%e1%83%98%e1%83%a3%e1%83%9b-%e1%83%ae%e1%83%90%e1%83%a0%e1%83%98%e1%83%a1%e1%83%ae%e1%83%98/
28,ტარო “ოქროს ბორბალი” – Tarot of the Golden Wheel,₾139.00,https://onlinetarot.ge/wp-content/uploads/2022/06/logo_appleIcon_logo2_1.png,https://onlinetarot.ge/product/%e1%83%a2%e1%83%90%e1%83%a0%e1%83%9d-%e1%83%9d%e1%83%a5%e1%83%a0%e1%83%9d%e1%83%a1-%e1%83%91%e1%83%9d%e1%83%a0%e1%83%91%e1%83%90%e1%83%9a%e1%83%98-tarot-of-the-golden-wheel/
